"","article_title","white_authors","black_authors","east_asian_authors","south_asian_authors","latino_authors","mena_authors","native_authors","pacific_authors","other_authors","mixed_authors"
"1","JOP.62.2.511","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"2","APSR.105.2.298","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"3","APSR.106.4.867","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"4","JOP.70.2.542","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"5","BJPS.33.2.163","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"6","APSR.110.4.675","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"7","IO.71.1.97","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"8","CPS.43.1.61","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"9","ISQ.53.1.227","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"10","APSR.95.3.649","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"11","APSR.100.1.115","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"12","APSR.110.3.512","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"13","IO.58.2.239","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
"14","ISQ.58.1.158","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors","Use restricted per APSA user agreement; please contact authors"
